Name,Location,Region,Price,Fine,Introduction,jpg
Kenting National Park,Pingtung,South,900,450,"Introduction: Kenting National Park (Chinese: 墾丁國家公園; pinyin: Kěndīng Gúojiā Gōngyuán), commonly known as Kenting (Chinese: 墾丁; pinyin: Kěndīng), is a national park located on the Hengchun Peninsula of Pingtung County, Taiwan, covering Hengchun, Checheng, and Manzhou Townships. Established on 1 January 1984, it is Taiwan's oldest and the southernmost national park on the main island, covering the southernmost area of the Taiwan island along Bashi Channel. Administered by the Executive Yuan's Ministry of the Interior, this national park is well known for its tropical climate and sunshine, scenic mountain and beach, the Spring Scream rock-band festival held in every March, and has long been one of the most popular tourist destinations in Taiwan with 5.84 million visitors in 2016",pictures/Kenting.jpg
Anping Old Fort,Tainan,South,800,400,"Introduction: Fort Zeelandia (traditional Chinese: 熱蘭遮城; simplified Chinese: 热兰遮城; pinyin: Rèlánzhē Chéng; Pe̍h-ōe-jī: Ji̍at-lân-jia Siâⁿ) was a fortress built over ten years from 1624 to 1634 by the Dutch East India Company (VOC), in the town of Anping (now Anping District of Tainan) on Formosa, the former name of central island of Taiwan, during their 38-year rule over the western part of the island. The site had been renamed several times as Fort Orange (奧倫治城; Pe̍h-ōe-jī: Ò-lûn-tī-siâⁿ), Fort Anping (安平城; Pe̍h-ōe-jī: An-pêng-siâⁿ), and Taiwan City (臺灣城; Pe̍h-ōe-jī: Tâi-oân-siâⁿ); the current name of the site in Chinese is Chinese: 安平古堡; Pe̍h-ōe-jī: An-pêng Kó͘-pó; lit. 'Anping Old Fort'.",pictures/anping.jpg
Liuqiu Island,Pingtung,South,900,450,"Introduction: Liuqiu, also known by several other names, is a coral island in the Taiwan Strait about 13 kilometers (8 mi) southwest of the main island of Taiwan. It has an area of 6.8 km2 (2.6 sq mi) and approximately 12,200 residents, the vast majority of whom share only 10 surnames. It is administered as a township of Pingtung County in Taiwan Province, Republic of China. As of 2019 the township chief is Chen Lung-chin.",pictures/liuqiu.jpg
Meinong,Kaohsiung,South,800,400,"Introduction: Meinong District (WG: Meinung, Hakka: 瀰濃 Mî-nùng, Chinese: 美濃區; pinyin: Měinóng Qū) is a Hakka district in Kaohsiung, Taiwan. Meinong is one of the four districts in Kaohsiung that is the central focus of Hakka cultural development, the others being Jiasian District, Shanlin District, and Liouguei District. In March 2012, it was named one of the ""Top 10 Small Tourist Towns"" by the Tourism Bureau.",pictures/meinong.jpg
Alishan,Chiayi,South,1000,500,"Introduction: Alishan Township (Chinese: 阿里山鄉; pinyin: Ālǐshān Xiāng) is a mountain indigenous township in Chiayi County, Taiwan. The Alishan National Scenic Area covers most, but not all, of the township and also parts of neighboring townships.",pictures/alishan.JPG
Hayashi Department Store,Tainan,South,900,450,"Introduction: Hayashi Department Store (Japanese: ハヤシ百貨店, Hepburn: Hayashi Hyakkaten), commonly called ""Five-story Building"" (Chinese: 五層樓仔; Pe̍h-ōe-jī: Gō͘-chàn-lâu-á), was situated in Suehirochō (末廣町), Tainan City, Tainan Prefecture, Japanese Taiwan. It was originally completed and opened on 5 December 1932, during Japanese rule. Upon completion, the building was one of two such stores in Taiwan with state-of-the-art features of elevators. The building was bombed by the United States airplanes at the end of World War II. After refurbishment, the building began to be restored in 2006. It was finally reopened on 14 June 2014 in a ceremony presided by Tainan Mayor William Lai.",pictures/lin.jpg
Zhiben Hot Spring,Taitung,East,1000,500,"Introduction: The Zhiben Hot Spring (Chinese: 知本溫泉; pinyin: Zhīběn Wēnquán; Wade–Giles: Chīh-pěn Wēn-ch'üán) is a hot spring in Beinan, Taitung County, Taiwan. It is one of the most famous Taiwanese hot springs.",pictures/Zhiben.jpg
Chulu Ranch,Taitung,East,700,350,"Introduction: The Chulu Ranch (traditional Chinese: 初鹿牧場; simplified Chinese: 初鹿牧场; pinyin: Chūlù Mùchǎng) is a tourist attraction ranch in Beinan Township, Taitung County, Taiwan.",pictures/Chulu.JPG
Taroko National Park,Hualien,East,1100,550,"Introduction: Taroko National Park (Chinese: 太魯閣國家公園; pinyin: Tàilǔgé Gúojiā Gōngyuán; Pe̍h-ōe-jī: Thài-ló͘-koh Kok-ka Kong-hn̂g) is one of the nine national parks in Taiwan and was named after the Taroko Gorge, the landmark gorge of the park carved by the Liwu River. The park spans Taichung Municipality, Nantou County, and Hualien County and is located in Xiulin Township, Hualien County, Taiwan.",pictures/Taroko.jpg
Qixingtan Beach,Hualien,East,600,300,"Introduction: The Qixingtan Beach or Chihsingtan Beach or in Sakizaya language Malongayangay (traditional Chinese: 七星潭海邊; simplified Chinese: 七星潭海边; pinyin: Qīxīngtán Hǎibiān) is a beach in Xincheng Township, Hualien County, Taiwan facing the Pacific Ocean.",pictures/Qixingtan.jpg
Lanyang Museum,Yilan,East,700,350,"Introduction: The Lanyang Museum (LYM; traditional Chinese: 蘭陽博物館; simplified Chinese: 兰阳博物馆; pinyin: Lányáng Bówùguǎn) is a museum about the local area in Toucheng Township, Yilan County, Taiwan.",pictures/lanyang.jpg
Qingshui Geothermal Park,Yilan,East,900,450,"Introduction: Qingshui Geothermal Park, located in Qingshui Valley of Datong Township in Yilan, features both a hot spring cooking area and a bathing area. Visitors can cook eggs and corn in the lush, steamy environment of the hot spring park and enjoy a free foot bath in the outdoor foot bath pool. Alternatively, they can soak in the Japanese-style Qingshui Spring Bathhouse. This offers a unique experience of outdoor exploration and cooking, as well as a relaxing hot spring bath, making it a delightful and enjoyable activity for all.",pictures/qingshui.jpg
